"participant";"prime_category";"prime_context";"prime_filename";"target_category";"target_context";"target_filename";"congruency";"mask_contrast";"soa";"iti";"task";"accuracy";"rt"
"29";"1";"indoor";"lobby";"SHINEd_lobby14.jpg";"indoor";"library";"SHINEd_library01.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";1043.23765552181
"30";"1";"outdoor";"garden";"SHINEd_garden14.jpg";"outdoor";"campsite";"SHINEd_campsite05.jpg";"congruent";"100% (low prime visibility)";"200 ms";0.8;"vis";"wrong";1451.25089853536
"31";"1";"outdoor";"shopfront";"SHINEd_shopfront01.jpg";"outdoor";"street";"SHINEd_street04.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.45;"vis";"correct";911.24369625868
"32";"1";"outdoor";"campsite";"SHINEd_campsite10.jpg";"outdoor";"street";"SHINEd_street08.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.4;"vis";"correct";1249.23124229554
"33";"1";"indoor";"bedroom";"SHINEd_bedroom09.jpg";"outdoor";"gasstation";"SHINEd_gasstation08.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.3;"vis";"correct";891.250584605586
"34";"1";"indoor";"classroom";"SHINEd_classroom14.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt06.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.2;"vis";"correct";1049.20051338195
"35";"1";"indoor";"church";"SHINEd_church10.jpg";"outdoor";"seaport";"SHINEd_seaport06.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1;"vis";"correct";1055.2258553771
"36";"1";"outdoor";"mountain";"SHINEd_mountains02.jpg";"outdoor";"shopfront";"SHINEd_shopfront06.jpg";"congruent";"100% (low prime visibility)";"200 ms";0.85;"vis";"correct";987.241608623663
"37";"1";"outdoor";"constructionsite";"SHINEd_construction02.jpg";"indoor";"staircase";"SHINEd_staircase03.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.05;"vis";"correct";1045.23050697389
"38";"1";"outdoor";"campsite";"SHINEd_campsite12.jpg";"outdoor";"seaport";"SHINEd_seaport05.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.15;"vis";"wrong";1679.26485996577
"39";"1";"outdoor";"street";"SHINEd_street15.jpg";"outdoor";"gasstation";"SHINEd_gasstation08.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";1069.25248690095
"40";"1";"outdoor";"parking";"SHINEd_parking05.jpg";"indoor";"staircase";"SHINEd_staircase08.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";1029.2375873014
"41";"1";"outdoor";"playground";"SHINEd_playground13.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt01.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.5;"vis";"correct";1243.23397288117
"42";"1";"indoor";"bar";"SHINEd_bar01.jpg";"outdoor";"constructionsite";"SHINEd_construction07.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.5;"vis";"correct";1215.23896798954
"43";"1";"indoor";"kitchen";"SHINEd_kitchen02.jpg";"indoor";"staircase";"SHINEd_staircase03.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.25;"vis";"correct";1107.23589751342
"44";"1";"outdoor";"seaport";"SHINEd_seaport14.jpg";"outdoor";"woods";"SHINEd_woods06.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.35;"vis";"correct";1313.20020428302
"45";"1";"outdoor";"house";"SHINEd_house11.jpg";"indoor";"restaurant";"SHINEd_restaurant03.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.15;"vis";"correct";1077.22962797015
"46";"1";"outdoor";"constructionsite";"SHINEd_construction02.jpg";"outdoor";"train";"SHINEd_train01.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.05;"vis";"correct";1373.25439945835
"47";"1";"outdoor";"campsite";"SHINEd_campsite10.jpg";"indoor";"diningroom";"SHINEd_diningroom06.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.3;"vis";"wrong";1239.24283657288
"48";"1";"outdoor";"shopfront";"SHINEd_shopfront01.jpg";"indoor";"lobby";"SHINEd_lobby06.jpg";"incongruent";"100% (low prime visibility)";"400 ms";0.9;"vis";"correct";1003.26531757946
"49";"1";"outdoor";"parking";"SHINEd_parking05.jpg";"outdoor";"campsite";"SHINEd_campsite04.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";985.250870161508
"50";"1";"indoor";"diningroom";"SHINEd_diningroom01.jpg";"outdoor";"garden";"SHINEd_garden07.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1;"vis";"correct";1133.265519823
"51";"1";"outdoor";"shopfront";"SHINEd_shopfront11.jpg";"indoor";"bedroom";"SHINEd_bedroom03.jpg";"incongruent";"20% (high prime visibility)";"200 ms";0.85;"vis";"correct";1121.26766058373
"52";"1";"indoor";"diningroom";"SHINEd_diningroom01.jpg";"indoor";"kitchen";"SHINEd_kitchen05.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.4;"vis";"correct";881.255236201469
"53";"1";"outdoor";"bridge";"SHINEd_bridge03.jpg";"outdoor";"seaport";"SHINEd_seaport06.jpg";"congruent";"100% (low prime visibility)";"200 ms";0.85;"vis";"correct";983.271904071444
"54";"1";"indoor";"livingroom";"SHINEd_livingroom13.jpg";"outdoor";"house";"SHINEd_house05.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"correct";953.276199477841
"55";"1";"outdoor";"gasstation";"SHINEd_gasstation09.jpg";"outdoor";"constructionsite";"SHINEd_construction04.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.15;"vis";"correct";869.283638410707
"56";"1";"indoor";"bathroom";"SHINEd_bathroom06.jpg";"indoor";"livingroom";"SHINEd_livingroom03.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.95;"vis";"correct";977.268597543116
"57";"1";"outdoor";"bridge";"SHINEd_bridge10.jpg";"outdoor";"playground";"SHINEd_playground03.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.3;"vis";"correct";897.241213193411
"58";"1";"outdoor";"campsite";"SHINEd_campsite10.jpg";"outdoor";"street";"SHINEd_street08.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.95;"vis";"correct";1049.27869401399
"59";"1";"indoor";"classroom";"SHINEd_classroom07.jpg";"indoor";"concerthall";"SHINEd_concerthall06.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"wrong";989.225404405261
"60";"1";"indoor";"livingroom";"SHINEd_livingroom14.jpg";"indoor";"classroom";"SHINEd_classroom01.jpg";"congruent";"100% (low prime visibility)";"400 ms";1;"vis";"correct";1007.27154667402
"61";"1";"outdoor";"train";"SHINEd_train04.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt06.jpg";"congruent";"100% (low prime visibility)";"200 ms";0.9;"vis";"wrong";767.325832406641
"62";"1";"outdoor";"playground";"SHINEd_playground07.jpg";"outdoor";"shopfront";"SHINEd_shopfront08.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.35;"vis";"correct";735.274490371012
"63";"1";"outdoor";"seaport";"SHINEd_seaport14.jpg";"outdoor";"woods";"SHINEd_woods06.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";879.291362898584
"64";"1";"indoor";"church";"SHINEd_church10.jpg";"indoor";"diningroom";"SHINEd_diningroom06.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";809.297964482539
"65";"1";"outdoor";"constructionsite";"SHINEd_construction09.jpg";"outdoor";"woods";"SHINEd_woods01.jpg";"congruent";"100% (low prime visibility)";"400 ms";0.8;"vis";"wrong";799.313482885736
"66";"1";"indoor";"office";"SHINEd_office03.jpg";"indoor";"staircase";"SHINEd_staircase08.jpg";"congruent";"20% (high prime visibility)";"400 ms";0.9;"vis";"correct";875.270644729426
"67";"1";"outdoor";"gasstation";"SHINEd_gasstation09.jpg";"outdoor";"constructionsite";"SHINEd_construction04.jpg";"congruent";"20% (high prime visibility)";"400 ms";0.85;"vis";"correct";771.31062974513
"68";"1";"indoor";"lobby";"SHINEd_lobby15.jpg";"outdoor";"seaport";"SHINEd_seaport05.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.05;"vis";"correct";767.301683948972
"69";"1";"indoor";"church";"SHINEd_church14.jpg";"outdoor";"train";"SHINEd_train01.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.3;"vis";"correct";923.293474680577
"70";"1";"indoor";"restaurant";"SHINEd_restaurant10.jpg";"indoor";"bedroom";"SHINEd_bedroom03.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"correct";1089.28816020943
"71";"1";"outdoor";"bridge";"SHINEd_bridge10.jpg";"indoor";"bathroom";"SHINEd_bathroom01.jpg";"incongruent";"20% (high prime visibility)";"200 ms";0.8;"vis";"correct";1007.31622132025
"72";"1";"outdoor";"woods";"SHINEd_woods10.jpg";"indoor";"bedroom";"SHINEd_bedroom04.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"wrong";1285.29666167287
"73";"1";"outdoor";"street";"SHINEd_street15.jpg";"outdoor";"gasstation";"SHINEd_gasstation08.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.3;"vis";"correct";849.291734180042
"74";"1";"indoor";"library";"SHINEd_library06.jpg";"outdoor";"train";"SHINEd_train08.jpg";"incongruent";"20% (high prime visibility)";"400 ms";0.95;"vis";"correct";817.311328238247
"75";"1";"indoor";"kitchen";"SHINEd_kitchen09.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt01.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.15;"vis";"correct";1049.29891834763
"76";"1";"indoor";"bedroom";"SHINEd_bedroom05.jpg";"indoor";"restaurant";"SHINEd_restaurant06.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.4;"vis";"correct";911.293200595537
"77";"1";"outdoor";"gasstation";"SHINEd_gasstation05.jpg";"outdoor";"bridge";"SHINEd_bridge07.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.2;"vis";"wrong";1113.34002385138
"78";"1";"outdoor";"mountain";"SHINEd_mountains09.jpg";"outdoor";"gasstation";"SHINEd_gasstation07.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.1;"vis";"wrong";1063.29506244219
"79";"1";"outdoor";"shopfront";"SHINEd_shopfront11.jpg";"outdoor";"house";"SHINEd_house07.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.2;"vis";"wrong";1283.29354712605
"80";"1";"indoor";"classroom";"SHINEd_classroom14.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt06.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.25;"vis";"wrong";841.31670609986
"81";"1";"outdoor";"playground";"SHINEd_playground13.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt01.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.2;"vis";"correct";521.331835109777
"82";"1";"outdoor";"seaport";"SHINEd_seaport03.jpg";"outdoor";"mountain";"SHINEd_mountains01.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.25;"vis";"correct";1143.30735400745
"83";"1";"outdoor";"train";"SHINEd_train06.jpg";"outdoor";"mountain";"SHINEd_mountains05.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";1093.31491549256
"84";"1";"outdoor";"tenniscourt";"SHINEd_tenniscourt03.jpg";"outdoor";"constructionsite";"SHINEd_construction07.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";1165.30569319639
"85";"1";"outdoor";"house";"SHINEd_house11.jpg";"outdoor";"garden";"SHINEd_garden06.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.15;"vis";"correct";1007.31320276373
"86";"1";"indoor";"corridor";"SHINEd_corridor15.jpg";"outdoor";"parking";"SHINEd_parking06.jpg";"incongruent";"20% (high prime visibility)";"200 ms";0.95;"vis";"correct";953.327213094781
"87";"1";"indoor";"bedroom";"SHINEd_bedroom05.jpg";"indoor";"restaurant";"SHINEd_restaurant06.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.5;"vis";"correct";759.331485560324
"88";"1";"outdoor";"playground";"SHINEd_playground13.jpg";"indoor";"office";"SHINEd_office04.jpg";"incongruent";"20% (high prime visibility)";"400 ms";0.85;"vis";"correct";1189.35604756007
"89";"1";"indoor";"staircase";"SHINEd_staircase05.jpg";"indoor";"office";"SHINEd_office01.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.25;"vis";"correct";1317.3543426783
"90";"1";"outdoor";"street";"SHINEd_street03.jpg";"indoor";"corridor";"SHINEd_corridor08.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";1075.28205487506
"91";"1";"indoor";"library";"SHINEd_library10.jpg";"outdoor";"gasstation";"SHINEd_gasstation07.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.45;"vis";"correct";1059.29728530737
"92";"1";"outdoor";"tenniscourt";"SHINEd_tenniscourt08.jpg";"outdoor";"parking";"SHINEd_parking02.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.8;"vis";"correct";951.347945148882
"93";"1";"indoor";"lobby";"SHINEd_lobby14.jpg";"outdoor";"playground";"SHINEd_playground03.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.15;"vis";"correct";1227.30987631348
"94";"1";"outdoor";"garden";"SHINEd_garden05.jpg";"indoor";"bathroom";"SHINEd_bathroom07.jpg";"incongruent";"20% (high prime visibility)";"200 ms";0.9;"vis";"correct";1019.33521045976
"95";"1";"indoor";"restaurant";"SHINEd_restaurant04.jpg";"indoor";"church";"SHINEd_church03.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.2;"vis";"correct";1103.32626224863
"96";"1";"indoor";"corridor";"SHINEd_corridor01.jpg";"outdoor";"woods";"SHINEd_woods06.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";927.325663366901
"97";"1";"outdoor";"gasstation";"SHINEd_gasstation09.jpg";"indoor";"classroom";"SHINEd_classroom01.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.15;"vis";"correct";967.315810796208
"98";"1";"outdoor";"campsite";"SHINEd_campsite12.jpg";"indoor";"library";"SHINEd_library01.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.3;"vis";"wrong";835.340264732622
"99";"1";"outdoor";"tenniscourt";"SHINEd_tenniscourt03.jpg";"indoor";"diningroom";"SHINEd_diningroom04.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.4;"vis";"wrong";1133.3624155086
"100";"1";"indoor";"kitchen";"SHINEd_kitchen09.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt01.jpg";"incongruent";"100% (low prime visibility)";"200 ms";0.9;"vis";"correct";1207.34212054049
"101";"1";"outdoor";"house";"SHINEd_house11.jpg";"outdoor";"garden";"SHINEd_garden06.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.35;"vis";"correct";809.349883666073
"102";"1";"outdoor";"woods";"SHINEd_woods03.jpg";"indoor";"bar";"SHINEd_bar02.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.15;"vis";"correct";817.349663914683
"103";"1";"outdoor";"seaport";"SHINEd_seaport14.jpg";"indoor";"restaurant";"SHINEd_restaurant06.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.5;"vis";"wrong";835.35777236375
"104";"1";"indoor";"livingroom";"SHINEd_livingroom14.jpg";"outdoor";"bridge";"SHINEd_bridge07.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.2;"vis";"wrong";1029.32603102818
"105";"1";"outdoor";"seaport";"SHINEd_seaport03.jpg";"indoor";"concerthall";"SHINEd_concerthall06.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.25;"vis";"correct";1341.35157043602
"106";"1";"outdoor";"parking";"SHINEd_parking13.jpg";"outdoor";"garden";"SHINEd_garden07.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.1;"vis";"wrong";1045.33766575423
"107";"1";"outdoor";"bridge";"SHINEd_bridge03.jpg";"outdoor";"seaport";"SHINEd_seaport06.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.8;"vis";"wrong";1133.33524849349
"108";"1";"outdoor";"shopfront";"SHINEd_shopfront11.jpg";"outdoor";"house";"SHINEd_house07.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.3;"vis";"wrong";1847.30401427532
"109";"1";"indoor";"bedroom";"SHINEd_bedroom09.jpg";"outdoor";"gasstation";"SHINEd_gasstation08.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";1237.35321977529
"110";"1";"indoor";"kitchen";"SHINEd_kitchen09.jpg";"indoor";"concerthall";"SHINEd_concerthall02.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.25;"vis";"correct";1069.37926630235
"111";"1";"outdoor";"woods";"SHINEd_woods03.jpg";"outdoor";"playground";"SHINEd_playground01.jpg";"congruent";"20% (high prime visibility)";"400 ms";1;"vis";"correct";1015.35312982287
"112";"1";"outdoor";"garden";"SHINEd_garden05.jpg";"outdoor";"house";"SHINEd_house05.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";921.348014575415
"113";"1";"outdoor";"campsite";"SHINEd_campsite12.jpg";"outdoor";"seaport";"SHINEd_seaport05.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";815.361944009965
"114";"1";"indoor";"bedroom";"SHINEd_bedroom09.jpg";"indoor";"library";"SHINEd_library04.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"correct";867.35749707077
"115";"1";"indoor";"office";"SHINEd_office03.jpg";"indoor";"staircase";"SHINEd_staircase08.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.4;"vis";"correct";821.346535482007
"116";"1";"indoor";"restaurant";"SHINEd_restaurant10.jpg";"outdoor";"street";"SHINEd_street08.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.45;"vis";"correct";407.382206980401
"117";"1";"indoor";"livingroom";"SHINEd_livingroom13.jpg";"outdoor";"house";"SHINEd_house05.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.5;"vis";"correct";1139.37115543831
"118";"1";"outdoor";"train";"SHINEd_train06.jpg";"outdoor";"mountain";"SHINEd_mountains05.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.15;"vis";"correct";1617.34247974982
"119";"1";"outdoor";"street";"SHINEd_street03.jpg";"outdoor";"parking";"SHINEd_parking06.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.45;"vis";"correct";1203.3700011425
"120";"1";"indoor";"staircase";"SHINEd_staircase02.jpg";"outdoor";"constructionsite";"SHINEd_construction04.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.5;"vis";"correct";951.358208242709
"121";"1";"indoor";"diningroom";"SHINEd_diningroom01.jpg";"indoor";"kitchen";"SHINEd_kitchen05.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.25;"vis";"correct";451.377979792596
"122";"1";"outdoor";"playground";"SHINEd_playground07.jpg";"indoor";"church";"SHINEd_church03.jpg";"incongruent";"100% (low prime visibility)";"200 ms";0.8;"vis";"wrong";889.384210699063
"123";"1";"indoor";"bar";"SHINEd_bar01.jpg";"indoor";"livingroom";"SHINEd_livingroom05.jpg";"congruent";"100% (low prime visibility)";"400 ms";1.5;"vis";"correct";1107.39739032306
"124";"1";"indoor";"corridor";"SHINEd_corridor15.jpg";"outdoor";"parking";"SHINEd_parking06.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.15;"vis";"wrong";1135.36885046869
"125";"1";"indoor";"livingroom";"SHINEd_livingroom14.jpg";"indoor";"classroom";"SHINEd_classroom01.jpg";"congruent";"20% (high prime visibility)";"400 ms";1;"vis";"correct";917.365933939436
"126";"1";"indoor";"library";"SHINEd_library06.jpg";"indoor";"bathroom";"SHINEd_bathroom07.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";899.389218485339
"127";"1";"outdoor";"house";"SHINEd_house11.jpg";"indoor";"restaurant";"SHINEd_restaurant03.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.25;"vis";"correct";869.399249149865
"128";"1";"indoor";"office";"SHINEd_office13.jpg";"indoor";"classroom";"SHINEd_classroom04.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.25;"vis";"wrong";1133.38294169807
"129";"1";"indoor";"church";"SHINEd_church14.jpg";"indoor";"restaurant";"SHINEd_restaurant03.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.95;"vis";"correct";1125.39040598494
"130";"1";"outdoor";"mountain";"SHINEd_mountains02.jpg";"indoor";"classroom";"SHINEd_classroom04.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.5;"vis";"correct";1065.39839308789
"131";"1";"indoor";"bathroom";"SHINEd_bathroom05.jpg";"outdoor";"playground";"SHINEd_playground01.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.3;"vis";"correct";1057.36420128687
"132";"1";"indoor";"livingroom";"SHINEd_livingroom14.jpg";"outdoor";"bridge";"SHINEd_bridge07.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1;"vis";"correct";957.379626114744
"133";"1";"indoor";"kitchen";"SHINEd_kitchen02.jpg";"outdoor";"mountain";"SHINEd_mountains05.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.5;"vis";"correct";1251.37864387489
"134";"1";"indoor";"restaurant";"SHINEd_restaurant04.jpg";"outdoor";"woods";"SHINEd_woods01.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.2;"vis";"wrong";2065.39507267553
"135";"1";"outdoor";"campsite";"SHINEd_campsite12.jpg";"indoor";"library";"SHINEd_library01.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";919.409497151719
"136";"1";"indoor";"concerthall";"SHINEd_concerthall14.jpg";"outdoor";"street";"SHINEd_street04.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"wrong";997.405392517976
