"participant";"prime_category";"prime_context";"prime_filename";"target_category";"target_context";"target_filename";"congruency";"mask_contrast";"soa";"iti";"task";"accuracy";"rt"
"1";"1";"outdoor";"garden";"SHINEd_garden14.jpg";"indoor";"kitchen";"SHINEd_kitchen05.jpg";"incongruent";"20% (high prime visibility)";"400 ms";0.95;"vis";"correct";709.204419395974
"2";"1";"outdoor";"train";"SHINEd_train06.jpg";"indoor";"library";"SHINEd_library04.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.2;"vis";"correct";863.204264242086
"3";"1";"outdoor";"woods";"SHINEd_woods10.jpg";"outdoor";"train";"SHINEd_train08.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.1;"vis";"correct";1119.21866396733
"4";"1";"outdoor";"train";"SHINEd_train04.jpg";"outdoor";"tenniscourt";"SHINEd_tenniscourt06.jpg";"congruent";"20% (high prime visibility)";"200 ms";1;"vis";"wrong";943.183955389031
"5";"1";"indoor";"bathroom";"SHINEd_bathroom06.jpg";"outdoor";"parking";"SHINEd_parking02.jpg";"incongruent";"20% (high prime visibility)";"200 ms";1.05;"vis";"correct";1129.17024329181
"6";"1";"outdoor";"bridge";"SHINEd_bridge03.jpg";"indoor";"office";"SHINEd_office01.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.35;"vis";"wrong";1153.18829909302
"7";"1";"indoor";"diningroom";"SHINEd_diningroom01.jpg";"outdoor";"garden";"SHINEd_garden07.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.4;"vis";"correct";1091.18381412009
"8";"1";"indoor";"library";"SHINEd_library06.jpg";"outdoor";"train";"SHINEd_train08.jpg";"incongruent";"100% (low prime visibility)";"400 ms";0.9;"vis";"correct";965.178068599016
"9";"1";"outdoor";"mountain";"SHINEd_mountains02.jpg";"outdoor";"shopfront";"SHINEd_shopfront06.jpg";"congruent";"20% (high prime visibility)";"200 ms";0.9;"vis";"correct";905.21473199442
"10";"1";"indoor";"library";"SHINEd_library10.jpg";"indoor";"bathroom";"SHINEd_bathroom01.jpg";"congruent";"100% (low prime visibility)";"200 ms";1.05;"vis";"correct";867.214719316507
"11";"1";"outdoor";"bridge";"SHINEd_bridge03.jpg";"indoor";"office";"SHINEd_office01.jpg";"incongruent";"20% (high prime visibility)";"400 ms";0.85;"vis";"wrong";1205.18988926869
"12";"1";"outdoor";"constructionsite";"SHINEd_construction09.jpg";"indoor";"kitchen";"SHINEd_kitchen03.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1;"vis";"wrong";1277.1948541922
"13";"1";"outdoor";"street";"SHINEd_street15.jpg";"indoor";"lobby";"SHINEd_lobby03.jpg";"incongruent";"20% (high prime visibility)";"200 ms";0.95;"vis";"correct";1073.2143432042
"14";"1";"outdoor";"tenniscourt";"SHINEd_tenniscourt08.jpg";"indoor";"livingroom";"SHINEd_livingroom05.jpg";"incongruent";"100% (low prime visibility)";"400 ms";1.35;"vis";"correct";1037.21714321819
"15";"1";"indoor";"bathroom";"SHINEd_bathroom06.jpg";"outdoor";"parking";"SHINEd_parking02.jpg";"incongruent";"100% (low prime visibility)";"200 ms";1.45;"vis";"correct";1053.20040350671
"16";"1";"indoor";"library";"SHINEd_library10.jpg";"indoor";"bathroom";"SHINEd_bathroom01.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.45;"vis";"correct";1105.19595656842
"17";"1";"indoor";"staircase";"SHINEd_staircase05.jpg";"outdoor";"campsite";"SHINEd_campsite04.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.2;"vis";"correct";1053.21791113874
"18";"1";"indoor";"concerthall";"SHINEd_concerthall03.jpg";"indoor";"bar";"SHINEd_bar02.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.35;"vis";"correct";1109.22090071836
"19";"1";"outdoor";"constructionsite";"SHINEd_construction09.jpg";"indoor";"kitchen";"SHINEd_kitchen03.jpg";"incongruent";"20% (high prime visibility)";"400 ms";0.8;"vis";"correct";1031.2105162775
"20";"1";"outdoor";"house";"SHINEd_house02.jpg";"indoor";"bar";"SHINEd_bar06.jpg";"incongruent";"100% (low prime visibility)";"200 ms";0.9;"vis";"correct";989.201255947592
"21";"1";"outdoor";"mountain";"SHINEd_mountains09.jpg";"outdoor";"gasstation";"SHINEd_gasstation07.jpg";"congruent";"20% (high prime visibility)";"400 ms";0.85;"vis";"correct";917.223759895023
"22";"1";"indoor";"concerthall";"SHINEd_concerthall14.jpg";"indoor";"lobby";"SHINEd_lobby06.jpg";"congruent";"20% (high prime visibility)";"200 ms";1.5;"vis";"correct";1203.13123326923
"23";"1";"indoor";"kitchen";"SHINEd_kitchen09.jpg";"indoor";"concerthall";"SHINEd_concerthall02.jpg";"congruent";"100% (low prime visibility)";"200 ms";0.8;"vis";"wrong";1099.1899333394
"24";"1";"outdoor";"constructionsite";"SHINEd_construction09.jpg";"outdoor";"woods";"SHINEd_woods01.jpg";"congruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"correct";1099.22374118014
"25";"1";"indoor";"bar";"SHINEd_bar01.jpg";"indoor";"livingroom";"SHINEd_livingroom05.jpg";"congruent";"20% (high prime visibility)";"400 ms";0.85;"vis";"correct";973.232786588596
"26";"1";"outdoor";"shopfront";"SHINEd_shopfront01.jpg";"outdoor";"street";"SHINEd_street04.jpg";"congruent";"20% (high prime visibility)";"400 ms";0.9;"vis";"correct";911.242790691176
"27";"1";"outdoor";"train";"SHINEd_train04.jpg";"indoor";"concerthall";"SHINEd_concerthall02.jpg";"incongruent";"20% (high prime visibility)";"400 ms";1.1;"vis";"wrong";877.212784421317
"28";"1";"outdoor";"mountain";"SHINEd_mountains09.jpg";"indoor";"corridor";"SHINEd_corridor05.jpg";"incongruent";"100% (low prime visibility)";"200 ms";0.85;"vis";"wrong";1477.170645363
